연번,소재지,지목,면적(㎡),공시가격(원/㎡),조정가격(원/㎡),,
309,제주특별자치도 서귀포시 남원읍 하례리 1494-4,과,495 ,61000 ,47500 ,,
310,제주특별자치도 서귀포시 남원읍 하례리 1506-1,과,2110 ,34000 ,31200 ,,
311,제주특별자치도 서귀포시 남원읍 하례리 1515-2,과,2816 ,34000 ,30900 ,,
312,제주특별자치도 서귀포시 남원읍 하례리 1515-4,과,166 ,34000 ,28500 ,,
313,제주특별자치도 서귀포시 남원읍 신례리 1617-5,대,387 ,114000 ,97400 ,,
314,제주특별자치도 서귀포시 남원읍 신례리 1697,임,11739 ,7000 ,3620 ,,
315,제주특별자치도 서귀포시 남원읍 신례리 1908,과,9121 ,7000 ,10100 ,,
316,제주특별자치도 서귀포시 남원읍 신례리 1909,과,4139 ,7000 ,10100 ,,
317,제주특별자치도 서귀포시 남원읍 신례리 1920,전,9914 ,26000 ,21600 ,,
318,제주특별자치도 서귀포시 남원읍 신례리 1931,과,6813 ,26000 ,22100 ,,
319,제주특별자치도 서귀포시 남원읍 신례리 1964,임,8787 ,7000 ,6480 ,,
320,제주특별자치도 서귀포시 남원읍 신례리 1966,과,4456 ,7000 ,7860 ,,
321,제주특별자치도 서귀포시 남원읍 신례리 2102,목,4730 ,7000 ,6710 ,,
322,제주특별자치도 서귀포시 남원읍 신례리 2111,목,12367 ,7000 ,6770 ,,
323,제주특별자치도 서귀포시 남원읍 신례리 2113,목,3950 ,7000 ,6510 ,,
324,제주특별자치도 서귀포시 남원읍 신례리 2121,목,3831 ,7800 ,7810 ,,
325,제주특별자치도 서귀포시 남원읍 신례리 2132,목,3765 ,7800 ,7810 ,,
326,제주특별자치도 서귀포시 남원읍 신례리 2133,목,2641 ,7800 ,7970 ,,
327,제주특별자치도 서귀포시 남원읍 신례리 2135,목,3788 ,7800 ,7810 ,,
328,제주특별자치도 서귀포시 남원읍 신례리 2136,목,9600 ,7800 ,7810 ,,
329,제주특별자치도 서귀포시 남원읍 신례리 2137,임,4327 ,7000 ,6890 ,,
330,제주특별자치도 서귀포시 남원읍 신례리 2138,임,2231 ,7000 ,5390 ,,
331,제주특별자치도 서귀포시 성산읍 성산리 114,대,5499 ,175000 ,350700 ,,
332,제주특별자치도 서귀포시 성산읍 성산리 196-19,대,315 ,1370000 ,1301000 ,,
333,제주특별자치도 서귀포시 성산읍 성산리 219-2,대,249 ,625000 ,637500 ,,
334,제주특별자치도 서귀포시 성산읍 성산리 230-22,전,136 ,600000 ,594600 ,,
335,제주특별자치도 서귀포시 성산읍 성산리 285-1,대,400 ,625000 ,631200 ,,
336,제주특별자치도 서귀포시 성산읍 오조리 17,전,2084 ,91000 ,76800 ,,
337,제주특별자치도 서귀포시 성산읍 오조리 327,전,3185 ,91000 ,80900 ,,
338,제주특별자치도 서귀포시 성산읍 오조리 331,전,2144 ,91000 ,80900 ,,
339,제주특별자치도 서귀포시 성산읍 오조리 705-1,대,474 ,120000 ,114800 ,,
340,제주특별자치도 서귀포시 성산읍 시흥리 3-2,임,293 ,196000 ,64500 ,,
341,제주특별자치도 서귀포시 성산읍 시흥리 1143,대,972 ,109000 ,97000 ,,
342,제주특별자치도 서귀포시 성산읍 시흥리 1589-1,전,1497 ,47000 ,44600 ,,
343,제주특별자치도 서귀포시 성산읍 시흥리 2047-5,임,3636 ,19000 ,17600 ,,
344,제주특별자치도 서귀포시 성산읍 고성리 122,임,1997 ,68000 ,88200 ,,
345,제주특별자치도 서귀포시 성산읍 고성리 123,임,2092 ,68000 ,88200 ,,
346,제주특별자치도 서귀포시 성산읍 고성리 190-1,전,849 ,228000 ,203300 ,,
347,제주특별자치도 서귀포시 성산읍 고성리 570,대,499 ,320000 ,310400 ,,
348,제주특별자치도 서귀포시 성산읍 고성리 908-2,전,1496 ,15000 ,100600 ,,
349,제주특별자치도 서귀포시 성산읍 고성리 1116-5,대,246 ,805000 ,702700 ,,
350,제주특별자치도 서귀포시 성산읍 고성리 1180-36,전,68 ,479000 ,220200 ,,
351,제주특별자치도 서귀포시 성산읍 고성리 1562-1,전,2807 ,19000 ,62800 ,,
352,제주특별자치도 서귀포시 성산읍 고성리 1562-2,전,208 ,19000 ,34700 ,,
353,제주특별자치도 서귀포시 성산읍 고성리 1562-3,전,2433 ,19000 ,41600 ,,
354,제주특별자치도 서귀포시 성산읍 고성리 1562-4,전,119 ,75000 ,82200 ,,
355,제주특별자치도 서귀포시 성산읍 고성리 2094-1,전,922 ,149000 ,115400 ,,
356,제주특별자치도 서귀포시 성산읍 수산리 272-2,과,8378 ,140000 ,106400 ,,
357,제주특별자치도 서귀포시 성산읍 수산리 579-14,대,490 ,79000 ,65400 ,,
358,제주특별자치도 서귀포시 성산읍 수산리 2149,전,2248 ,12500 ,9540 ,,
359,제주특별자치도 서귀포시 성산읍 수산리 3273-10,목,5425 ,15500 ,7920 ,,
360,제주특별자치도 서귀포시 성산읍 수산리 3280,임,1233 ,15500 ,7070 ,,
361,제주특별자치도 서귀포시 성산읍 수산리 3281,임,17220 ,15500 ,6860 ,,
362,제주특별자치도 서귀포시 성산읍 수산리 3282,임,1137 ,15500 ,7070 ,,
363,제주특별자치도 서귀포시 성산읍 수산리 4582,임,13213 ,12500 ,10200 ,,
364,제주특별자치도 서귀포시 성산읍 온평리 634-1,전,846 ,20000 ,17800 ,,
364,제주특별자치도 서귀포시 성산읍 온평리 634-1,전,846 ,20000 ,17800 ,,
365,제주특별자치도 서귀포시 성산읍 온평리 755-1,대,1888 ,135000 ,121500 ,,
366,제주특별자치도 서귀포시 성산읍 온평리 756,대,545 ,136000 ,103200 ,,
367,제주특별자치도 서귀포시 성산읍 온평리 2154-3,임,8181 ,8900 ,9080 ,,
368,제주특별자치도 서귀포시 성산읍 온평리 2351,임,4532 ,26000 ,21500 ,,
369,제주특별자치도 서귀포시 성산읍 온평리 2415,과,3863 ,13500 ,21900 ,,
370,제주특별자치도 서귀포시 성산읍 온평리 2441,임,6919 ,8200 ,13700 ,,
371,제주특별자치도 서귀포시 성산읍 온평리 2493,임,13671 ,8900 ,10000 ,,
372,제주특별자치도 서귀포시 성산읍 온평리 2503,과,3678 ,38000 ,31000 ,,
373,제주특별자치도 서귀포시 성산읍 온평리 2504-1,과,9273 ,38000 ,31000 ,,
374,제주특별자치도 서귀포시 성산읍 온평리 2586-11,대,822 ,98000 ,98000 ,,
375,제주특별자치도 서귀포시 성산읍 온평리 2586-12,대,1323 ,98000 ,98000 ,,
376,제주특별자치도 서귀포시 성산읍 온평리 2691,임,892 ,14500 ,23400 ,,
377,제주특별자치도 서귀포시 성산읍 온평리 2691-6,임,949 ,14500 ,21000 ,,
378,제주특별자치도 서귀포시 성산읍 온평리 2813-2,임,992 ,8900 ,14200 ,,
379,제주특별자치도 서귀포시 성산읍 온평리 2813-3,임,1652 ,8900 ,14200 ,,
380,제주특별자치도 서귀포시 성산읍 온평리 2813-4,임,1479 ,8900 ,16600 ,,
381,제주특별자치도 서귀포시 성산읍 신산리 1061,과,7988 ,35000 ,29800 ,,
382,제주특별자치도 서귀포시 성산읍 신산리 1066-1,과,1457 ,35000 ,29800 ,,
383,제주특별자치도 서귀포시 성산읍 신산리 1095,전,1473 ,28000 ,31700 ,,
384,제주특별자치도 서귀포시 성산읍 신산리 1095-1,전,97 ,28000 ,31700 ,,
385,제주특별자치도 서귀포시 성산읍 신산리 1215,임,9256 ,12500 ,7420 ,,
386,제주특별자치도 서귀포시 성산읍 신산리 1255-2,임,1355 ,18000 ,11200 ,,
387,제주특별자치도 서귀포시 성산읍 신산리 1290-1,전,1772 ,35000 ,35300 ,,
388,제주특별자치도 서귀포시 성산읍 신산리 1309-1,과,1764 ,35000 ,29800 ,,
389,제주특별자치도 서귀포시 성산읍 신산리 1309-2,전,1663 ,35000 ,29800 ,,
390,제주특별자치도 서귀포시 성산읍 신산리 1495-2,전,165 ,58000 ,37400 ,,
391,제주특별자치도 서귀포시 성산읍 신산리 1540-2,임,2883 ,35000 ,32200 ,,
392,제주특별자치도 서귀포시 성산읍 삼달리 63-5,대,854 ,115000 ,111500 ,,
393,제주특별자치도 서귀포시 성산읍 삼달리 64,대,549 ,115000 ,104600 ,,
394,제주특별자치도 서귀포시 성산읍 삼달리 68-8,대,156 ,115000 ,110900 ,,
395,제주특별자치도 서귀포시 성산읍 삼달리 171,전,846 ,11000 ,10800 ,,
396,제주특별자치도 서귀포시 성산읍 삼달리 1172,과,2489 ,57000 ,51800 ,,
397,제주특별자치도 서귀포시 성산읍 신천리 507-1,전,4023 ,98000 ,83700 ,,
398,제주특별자치도 서귀포시 성산읍 신천리 907,전,2037 ,46000 ,35700 ,,
399,제주특별자치도 서귀포시 성산읍 신천리 963,과,654 ,93000 ,12700 ,,
400,제주특별자치도 서귀포시 성산읍 난산리 1526,전,3352 ,12500 ,11100 ,,
401,제주특별자치도 서귀포시 성산읍 난산리 2242-1,임,927 ,6800 ,7420 ,,
402,제주특별자치도 서귀포시 성산읍 난산리 2686,임,16537 ,43000 ,39700 ,,
403,제주특별자치도 서귀포시 안덕면 화순리 1073-7,대,323 ,275000 ,189200 ,,
404,제주특별자치도 서귀포시 안덕면 감산리 1287,답,714 ,25000 ,20300 ,,
405,제주특별자치도 서귀포시 안덕면 상창리 1875-1,대,990 ,160000 ,161700 ,,
406,제주특별자치도 서귀포시 안덕면 상창리 1891,장,6179 ,48000 ,95800 ,,
407,제주특별자치도 서귀포시 안덕면 상창리 2257,임,618 ,34000 ,14000 ,,
408,제주특별자치도 서귀포시 안덕면 사계리 879-2,전,1815 ,112000 ,111100 ,,
409,제주특별자치도 서귀포시 안덕면 사계리 1952,답,145 ,25000 ,25000 ,,
410,제주특별자치도 서귀포시 안덕면 사계리 2489,전,274 ,113000 ,74600 ,,
411,제주특별자치도 서귀포시 안덕면 사계리 3646,임,6592 ,3750 ,5660 ,,
412,제주특별자치도 서귀포시 안덕면 덕수리 580-2,과,1940 ,24500 ,19800 ,,
413,제주특별자치도 서귀포시 안덕면 덕수리 644,과,1368 ,11500 ,17800 ,,
414,제주특별자치도 서귀포시 안덕면 덕수리 702,전,2294 ,24500 ,24500 ,,
415,제주특별자치도 서귀포시 안덕면 덕수리 705-1,대,469 ,95000 ,81900 ,,
416,제주특별자치도 서귀포시 안덕면 덕수리 720,과,2886 ,24500 ,24500 ,,
417,제주특별자치도 서귀포시 안덕면 덕수리 725,전,2866 ,24500 ,24500 ,,
418,제주특별자치도 서귀포시 안덕면 덕수리 2782-3,전,182 ,35000 ,26600 ,,
419,제주특별자치도 서귀포시 안덕면 동광리 802,임,4331 ,24500 ,14600 ,,
420,제주특별자치도 서귀포시 안덕면 동광리 813,임,2195 ,24500 ,14600 ,,
421,제주특별자치도 서귀포시 안덕면 동광리 815,임,3158 ,24500 ,14600 ,,
422,제주특별자치도 서귀포시 안덕면 동광리 905,임,3312 ,33000 ,19000 ,,
423,제주특별자치도 서귀포시 안덕면 동광리 967,대,998 ,90000 ,84300 ,,
424,제주특별자치도 서귀포시 안덕면 광평리 232,전,1801 ,30000 ,24000 ,,
425,제주특별자치도 서귀포시 안덕면 광평리 233,전,816 ,30000 ,24000 ,,
426,제주특별자치도 서귀포시 안덕면 광평리 234,전,912 ,30000 ,24000 ,,
427,제주특별자치도 서귀포시 안덕면 광평리 298-3,대,13600 ,25000 ,89000 ,,
428,제주특별자치도 서귀포시 안덕면 광평리 산 55-1,임,9719 ,25000 ,12500 ,,
429,제주특별자치도 서귀포시 안덕면 상천리 376,임,417 ,68000 ,57800 ,,
430,제주특별자치도 서귀포시 안덕면 상천리 390-2,목,1233 ,68000 ,57800 ,,
431,제주특별자치도 서귀포시 안덕면 상천리 394,목,3491 ,68000 ,49600 ,,
432,제주특별자치도 서귀포시 안덕면 상천리 394-1,목,4317 ,68000 ,57800 ,,
433,제주특별자치도 서귀포시 안덕면 상천리 395,임,261 ,68000 ,49600 ,,
434,제주특별자치도 서귀포시 안덕면 상천리 411,임,1529 ,68000 ,60500 ,,
435,제주특별자치도 서귀포시 안덕면 상천리 411-1,임,7199 ,68000 ,60500 ,,
436,제주특별자치도 서귀포시 안덕면 상천리 412-1,임,142 ,68000 ,57800 ,,
437,제주특별자치도 서귀포시 안덕면 상천리 499-2,임,260 ,28500 ,15400 ,,
438,제주특별자치도 서귀포시 안덕면 상천리 503,임,11521 ,36000 ,17100 ,,
439,제주특별자치도 서귀포시 안덕면 상천리 545-6,목,411 ,28000 ,10600 ,,
440,제주특별자치도 서귀포시 안덕면 상천리 547,임,4807 ,36000 ,19400 ,,
441,제주특별자치도 서귀포시 안덕면 상천리 602-8,목,4025 ,18000 ,15900 ,,
442,제주특별자치도 서귀포시 안덕면 상천리 814-3,대,493 ,265000 ,241100 ,,
443,제주특별자치도 서귀포시 안덕면 상천리 815-1,대,202 ,265000 ,253300 ,,
444,제주특별자치도 서귀포시 안덕면 상천리 815-4,대,191 ,265000 ,255900 ,,
445,제주특별자치도 서귀포시 표선면 표선리 1215-1,임,3306 ,48500 ,31400 ,,
446,제주특별자치도 서귀포시 표선면 표선리 1425,과,7384 ,35000 ,31100 ,,
447,제주특별자치도 서귀포시 표선면 표선리 1425-2,과,580 ,35000 ,31100 ,,
448,제주특별자치도 서귀포시 표선면 하천리 48-2,대,701 ,113000 ,99600 ,,
449,제주특별자치도 서귀포시 표선면 하천리 1570,전,5643 ,12000 ,12700 ,,
450,제주특별자치도 서귀포시 표선면 성읍리 613-4,전,1077 ,52500 ,50000 ,,
451,제주특별자치도 서귀포시 표선면 성읍리 614-1,대,918 ,180000 ,117700 ,,
452,제주특별자치도 서귀포시 표선면 성읍리 614-3,전,880 ,52500 ,50000 ,,
453,제주특별자치도 서귀포시 표선면 성읍리 616,전,846 ,30000 ,28800 ,,
454,제주특별자치도 서귀포시 표선면 성읍리 2045-4,목,15 ,32000 ,35500 ,,
455,제주특별자치도 서귀포시 표선면 성읍리 2432,대,655 ,77000 ,65200 ,,
456,제주특별자치도 서귀포시 표선면 성읍리 2669,대,1200 ,77000 ,69000 ,,
457,제주특별자치도 서귀포시 표선면 성읍리 2669-2,잡,1193 ,77000 ,74600 ,,
458,제주특별자치도 서귀포시 표선면 성읍리 2671,잡,3443 ,77000 ,87300 ,,
459,제주특별자치도 서귀포시 표선면 가시리 1049-2,임,19431 ,26500 ,19500 ,,
460,제주특별자치도 서귀포시 표선면 가시리 1090,전,1180 ,43000 ,31800 ,,
461,제주특별자치도 서귀포시 표선면 가시리 2157,전,1590 ,43000 ,29900 ,,
462,제주특별자치도 서귀포시 표선면 가시리 2210,과,4336 ,48000 ,42700 ,,
463,제주특별자치도 서귀포시 표선면 가시리 3401,전,1206 ,28500 ,21500 ,,
