"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00071,제1-17호,어린이공원,제주특별자치도 제주시 일도2동 397,,33.508128,126.543758,2052,,,,,,,,,2017-06-26
50110-00070,제1-16호,어린이공원,제주특별자치도 제주시 일도2동 337,,33.506931,126.536346,1653,,,,,,,,,2017-06-26
50110-00069,제1-15호,어린이공원,제주특별자치도 제주시 일도2동 355-8,,33.508843,126.540676,3229,,,,,,,,,2017-06-26
50110-00068,제1-14호,어린이공원,제주특별자치도 제주시 일도2동 318,,33.509918,126.537341,1658,,,,,,,,,2017-06-26
50110-00067,제1-13호,어린이공원,제주특별자치도 제주시 일도2동 154,,33.511256,126.541878,1279,,,,,,,,,2017-06-26
50110-00066,제1-12호,어린이공원,제주특별자치도 제주시 건입동 671,,33.516772,126.540082,1652,,,,,,,,,2017-06-26
50110-00061,제1-7호,어린이공원,제주특별자치도 제주시 연동 297-1,,33.483126,126.494281,4322,,,,,,,,,2017-06-26
50110-00060,제1-6호,어린이공원,제주특별자치도 제주시 연동 293-6,,33.487043,126.494352,1324,,,,,,,,,2017-06-26
50110-00059,제1-5호,어린이공원,제주특별자치도 제주시 연동 311-33,,33.491522,126.498971,1323,,,,,,,,,2017-06-26
50110-00058,제1-4호,어린이공원,제주특별자치도 제주시 도남동 914-13,,33.499489,126.525812,1599,,,,,,,,,2017-06-26
50110-00057,제1-3호,어린이공원,제주특별자치도 제주시 삼도1동 547-11,,33.5021697,126.5218205,1639,,,,,,,,,2017-06-26
50110-00056,제1-2호,어린이공원,제주특별자치도 제주시 삼도1동 505,,33.501463,126.515903,1656,,,,,,,,,2017-06-26
50110-00055,제1-1호,어린이공원,제주특별자치도 제주시 삼도1동 785-1,,33.506046,126.519064,1664,,,,,,,,,2017-06-26
50110-00054,고산공원,근린공원,제주특별자치도 제주시 한경면 고산리 2067,,33.3039815,126.1852634,9800,,,,,,,,,2017-06-26
50110-00053,두모공원,근린공원,제주특별자치도 제주시 한경면 두모리 2791,,33.351954,126.181819,13400,,,,,,,,,2017-06-26
50110-00052,만세공원,근린공원,제주특별자치도 제주시 조천읍 조천리 1134,,33.540785,126.6418598,58490,,,,,,,,,2017-06-26
50110-00051,함덕공원,근린공원,제주특별자치도 제주시 조천읍 함덕리 919,제주특별자치도 제주시 조천읍 일주동로 1189,33.537704,126.667687,17200,,,,,,,,,2017-06-26
50110-00050,용암해수제1공원,근린공원,제주특별자치도 제주시 구좌읍 한동리 4849-20,,33.519324,126.811103,14410,,,,,,,,,2017-06-26
50110-00049,세화공원,근린공원,제주특별자치도 제주시 구좌읍 상도리 471-32,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.521659,126.864033,82390,,,,,,,,,2017-06-26
50110-00048,평대공원,근린공원,제주특별자치도 제주시 구좌읍 평대리 468-36,,33.526638,126.847111,47180,,,,,,,,,2017-06-26
50110-00047,상도공원,근린공원,제주특별자치도 제주시 구좌읍 상도리 392-1,,33.513886,126.870222,85330,,,,,,,,,2017-06-26
50110-00046,동복공원,근린공원,제주특별자치도 제주시 구좌읍 동복리 1679,,33.552821,126.708150,12900,,,,,,,,,2017-06-26
50110-00045,김녕공원,근린공원,제주특별자치도 제주시 구좌읍 김녕리 4302,,33.556502,126.735379,58990,,,,,,,,,2017-06-26
50110-00044,하귀1근린공원,근린공원,제주특별자치도 제주시 애월읍 하귀1리 199,제주특별자치도 제주시 애월읍 하귀동남1길 22,33.484859,126.4138295,29682,,,,,,,,,2017-06-26
50110-00043,수산공원,근린공원,제주특별자치도 제주시 애월읍 수산리 산1-1,,33.473759,126.384683,46118,,,,,,,,,2017-06-26
50110-00042,신엄공원,근린공원,제주특별자치도 제주시 애월읍 신엄리 2386,,33.469982,126.362169,54340,,,,,,,,,2017-06-26
50110-00041,고내공원,근린공원,제주특별자치도 제주시 애월읍 고내리 1356,제주특별자치도 제주시 애월읍 일주서로 6361,33.463008,126.332667,71710,,,,,,,,,2017-06-26
