"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00023,한마음공원,근린공원,제주특별자치도 제주시 이도2동 1942-1,,33.496986,126.535337,47989,,,,,,,,,2017-06-26
50110-00022,시민복지타운근린공원,근린공원,제주특별자치도 제주시 도남동 749,제주특별자치도 제주시 복지로9길 25 (도남동),33.489394,126.5263297,16493,,,,,,,,,2017-06-26
50110-00021,노형제2근린공원,근린공원,제주특별자치도 제주시 노형동 2582-1,제주특별자치도 제주시 월광로 116 (노형동),33.4894302,126.471923,10819,,,,,,,,,2017-06-26
50110-00020,노형제1근린공원,근린공원,제주특별자치도 제주시 노형동 2584-1,제주특별자치도 제주시 정존5길 67 (노형동),33.486619,126.469511,27578,,,,,,,,,2017-06-26
50110-00019,동부공원,근린공원,제주특별자치도 제주시 화북2동 679,,33.508682,126.5709904,142500,,,,,,,,,2017-06-26
50110-00018,화북공원,근린공원,제주특별자치도 제주시 화북2동 3387,,33.5068098,126.562866,10000,,,,,,,,,2017-06-26
50110-00017,중부공원,근린공원,제주특별자치도 제주시 건입동 167,,33.508156,126.5495003,214200,,,,,,,,,2017-06-26
50110-00016,오등봉공원,근린공원,제주특별자치도 제주시 오등동 1596,,33.472163,126.519437,764970,,,,,,,,,2017-06-26
50110-00015,서부공원,근린공원,제주특별자치도 제주시 용담2동 1835,,33.497325,126.492228,178540,,,,,,,,,2017-06-26
50110-00014,노형근린공원,근린공원,제주특별자치도 제주시 노형동 731,제주특별자치도 제주시 과원북4길 12 (노형동),33.480094,126.482536,22375,,,,,,,,,2017-06-26
50110-00013,이도공원,근린공원,제주특별자치도 제주시 이도2동 440,,33.497307,126.544195,18007,,,,,,,,,2017-06-26
50110-00012,수운공원,근린공원,제주특별자치도 제주시 이도2동 371,,33.478329,126.523575,14471,,,,,,,,,2017-06-26
50110-00011,도남공원,근린공원,제주특별자치도 제주시 도남동 80-1,,33.492275,126.531963,10279,,,,,,,,,2017-06-26
50110-00010,탑동제2공원,근린공원,제주특별자치도 제주시 삼도2동 1262,,33.518116,126.524185,10200,,,,,,,,,2017-06-26
50110-00009,탑동제1공원,근린공원,제주특별자치도 제주시 삼도2동 1256,,33.518648,126.520255,4270,,,,,,,,,2017-06-26
50110-00008,연동공원,근린공원,제주특별자치도 제주시 연동 1373-5,,33.482106,126.491114,20208,,,,,,,,,2017-06-26
50110-00007,삼무공원,근린공원,제주특별자치도 제주시 연동 270-5,제주특별자치도 제주시 신대로10길 48-9 (연동),33.491478,126.492015,22800,,,,,,,,,2017-06-26
50110-00006,삼다공원,근린공원,제주특별자치도 제주시 연동 302-2,,33.489134,126.497115,16300,,,,,,,,,2017-06-26
50110-00005,방일리공원,근린공원,제주특별자치도 제주시 노형동 3812-2. 3812-1,,33.4777823,126.4769912,39604,,,,,,,,,2017-06-26
50110-00004,남조봉공원,근린공원,제주특별자치도 제주시 연동 1010,,33.468665,126.491629,1675230,,,,,,,,,2017-06-26
50110-00003,사라봉공원,근린공원,제주특별자치도 제주시 건입동 387-1,제주특별자치도 제주시 사라봉동길 74 (건입동),33.518056,126.546054,1006520,,,,,,,,,2017-06-26
50110-00002,용담공원,근린공원,제주특별자치도 제주시 용담1동 373,,33.514036,126.515435,146680,,,,,,,,,2017-06-26
50110-00001,신산공원,근린공원,제주특별자치도 제주시 일도2동 852,,33.504309,126.535386,245550,,,,,,,,,2017-06-26
50110-00113,제1-59호,어린이공원,제주특별자치도 제주시 도련1동 1615-1,제주특별자치도 제주시 도련1동 1615-1,33.506794,126.590134,2600,,,,,,,,,2017-06-26
