도로등급, 도로명, 지점ID, 년도, 월, 일, 요일, 방향, 1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종, 합계  
일반국도,국도 48호선,4803-002,2016,01,01,금,상행,33514,1124,2883,600,42,23,3,4,1,1,0,1,38196
일반국도,국도 48호선,4803-002,2016,01,01,금,하행,31519,640,3462,627,52,27,3,2,0,4,0,0,36336
일반국도,국도 48호선,4803-002,2016,01,02,토,상행,34597,1183,3531,865,92,96,9,3,2,3,0,2,40383
일반국도,국도 48호선,4803-002,2016,01,02,토,하행,32295,987,4067,757,126,91,7,4,0,12,0,1,38347
일반국도,국도 48호선,4803-002,2016,01,03,일,상행,29955,1147,2568,544,58,148,6,1,0,3,0,7,34437
일반국도,국도 48호선,4803-002,2016,01,03,일,하행,27706,949,3066,548,115,174,18,4,0,5,0,4,32589
일반국도,국도 48호선,4803-002,2016,01,04,월,상행,33955,1517,6178,1725,349,345,41,17,0,16,0,13,44156
일반국도,국도 48호선,4803-002,2016,01,04,월,하행,32606,1107,7339,1916,333,342,99,8,0,52,0,6,43808
일반국도,국도 48호선,4803-002,2016,01,05,화,상행,33769,1483,6837,2017,416,430,45,18,0,24,0,18,45057
일반국도,국도 48호선,4803-002,2016,01,05,화,하행,32771,1188,7755,2183,393,484,138,5,0,38,0,7,44962
일반국도,국도 48호선,4803-002,2016,01,06,수,상행,33916,1529,6912,2005,394,357,49,16,0,17,0,10,45205
일반국도,국도 48호선,4803-002,2016,01,06,수,하행,32738,1203,7799,2158,361,426,127,10,0,36,0,2,44860
일반국도,국도 48호선,4803-002,2016,01,07,목,상행,34397,1537,6875,1994,351,292,37,17,0,24,0,13,45537
일반국도,국도 48호선,4803-002,2016,01,07,목,하행,33376,1204,8215,2225,339,369,132,5,0,41,0,7,45913
일반국도,국도 48호선,4803-002,2016,01,08,금,상행,35039,1496,7057,1971,354,271,56,31,1,13,0,14,46303
일반국도,국도 48호선,4803-002,2016,01,08,금,하행,33767,1163,8080,2155,391,420,137,9,0,47,0,22,46191
일반국도,국도 48호선,4803-002,2016,01,09,토,상행,35373,1255,5040,1229,234,365,27,12,0,13,0,8,43556
일반국도,국도 48호선,4803-002,2016,01,09,토,하행,33482,971,5667,1287,235,451,75,5,0,39,0,8,42220
일반국도,국도 48호선,4803-002,2016,01,10,일,상행,31166,1159,2748,602,88,160,7,4,0,6,0,4,35944
일반국도,국도 48호선,4803-002,2016,01,10,일,하행,29213,911,3546,675,73,217,20,3,0,13,0,1,34672
일반국도,국도 48호선,4803-002,2016,01,11,월,상행,33751,1588,6736,1888,364,311,30,14,0,23,0,9,44714
일반국도,국도 48호선,4803-002,2016,01,11,월,하행,32379,1203,7703,2114,321,290,86,11,0,31,0,8,44146
일반국도,국도 48호선,4803-002,2016,01,12,화,상행,33999,1513,7043,1965,515,467,36,26,0,16,0,5,45585
일반국도,국도 48호선,4803-002,2016,01,12,화,하행,33266,1186,8083,2256,377,503,125,8,0,39,0,14,45857
일반국도,국도 48호선,4803-002,2016,01,13,수,상행,32580,1556,6770,1904,471,495,34,20,0,20,0,8,43858
일반국도,국도 48호선,4803-002,2016,01,13,수,하행,31785,1152,7889,2143,403,515,107,11,0,48,0,9,44062
일반국도,국도 48호선,4803-002,2016,01,14,목,상행,32655,1505,6700,2014,461,428,36,21,0,23,0,13,43856
일반국도,국도 48호선,4803-002,2016,01,14,목,하행,32168,1183,7572,2163,389,448,130,11,0,47,0,10,44121
일반국도,국도 48호선,4803-002,2016,01,15,금,상행,35344,1630,6620,1945,455,403,45,26,0,22,0,8,46498
일반국도,국도 48호선,4803-002,2016,01,15,금,하행,34125,1237,7804,2181,360,416,99,8,0,43,0,10,46283
일반국도,국도 48호선,4803-002,2016,01,16,토,상행,34812,1271,4995,1191,279,303,19,10,0,14,0,6,42900
일반국도,국도 48호선,4803-002,2016,01,16,토,하행,32942,1058,5829,1272,203,279,66,4,0,28,0,6,41687
일반국도,국도 48호선,4803-002,2016,01,17,일,상행,32028,1110,3091,626,100,255,8,5,2,6,0,4,37235
일반국도,국도 48호선,4803-002,2016,01,17,일,하행,29561,927,3673,700,69,258,12,5,0,9,0,0,35214
일반국도,국도 48호선,4803-002,2016,01,18,월,상행,33542,1541,6999,1835,500,413,46,22,1,16,0,16,44931
일반국도,국도 48호선,4803-002,2016,01,18,월,하행,32426,1189,8262,2060,333,481,86,18,0,65,0,19,44939
일반국도,국도 48호선,4803-002,2016,01,19,화,상행,32818,1394,6855,2076,446,433,33,17,1,15,0,3,44091
일반국도,국도 48호선,4803-002,2016,01,19,화,하행,31585,1049,8077,2128,368,490,98,6,0,23,0,8,43832
일반국도,국도 48호선,4803-002,2016,01,20,수,상행,33134,1487,6865,2016,454,480,27,15,2,21,0,4,44505
일반국도,국도 48호선,4803-002,2016,01,20,수,하행,32096,1189,7899,2140,342,612,77,5,0,19,0,5,44384
일반국도,국도 48호선,4803-002,2016,01,21,목,상행,33635,1449,6856,1988,417,436,32,18,0,30,0,11,44872
일반국도,국도 48호선,4803-002,2016,01,21,목,하행,32351,1177,7818,2129,345,520,113,10,1,41,0,12,44517
일반국도,국도 48호선,4803-002,2016,01,22,금,상행,34752,1539,7718,2032,413,392,46,15,2,22,0,11,46942
