도로등급, 도로명, 지점ID, 년도, 월, 일, 요일, 방향, 1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종, 합계  
일반국도,국도 48호선,4803-002,2015,01,01,목,상행,27575,844,4639,2589,336,526,15,3,1,33,0,15,36576
일반국도,국도 48호선,4803-002,2015,01,01,목,하행,29548,871,3932,825,38,30,13,3,0,6,0,0,35266
일반국도,국도 48호선,4803-002,2015,01,02,금,상행,32870,941,5835,3218,452,700,19,9,1,45,2,23,44115
일반국도,국도 48호선,4803-002,2015,01,02,금,하행,31398,1116,6727,1852,229,138,65,2,0,11,0,1,41539
일반국도,국도 48호선,4803-002,2015,01,03,토,상행,30401,1043,5754,3213,197,805,36,26,2,64,13,52,41606
일반국도,국도 48호선,4803-002,2015,01,03,토,하행,31979,1051,5385,1243,161,137,31,3,0,10,0,2,40002
일반국도,국도 48호선,4803-002,2015,01,04,일,상행,25918,910,5020,2748,140,750,29,20,2,51,15,40,35643
일반국도,국도 48호선,4803-002,2015,01,04,일,하행,28387,985,3293,674,53,76,5,0,0,3,0,1,33477
일반국도,국도 48호선,4803-002,2015,01,05,월,상행,32931,966,6068,3441,443,754,44,19,2,60,24,36,44788
일반국도,국도 48호선,4803-002,2015,01,05,월,하행,32256,1241,7086,2086,343,250,96,7,0,29,0,6,43400
일반국도,국도 48호선,4803-002,2015,01,06,화,상행,33842,1111,5756,3246,449,650,18,6,1,45,0,21,45145
일반국도,국도 48호선,4803-002,2015,01,06,화,하행,32415,1242,7656,2192,334,256,113,8,1,25,0,7,44249
일반국도,국도 48호선,4803-002,2015,01,07,수,상행,34351,1301,6253,2225,503,612,16,3,4,42,2,18,45330
일반국도,국도 48호선,4803-002,2015,01,07,수,하행,32295,1238,7546,2151,290,285,125,7,0,23,0,1,43961
일반국도,국도 48호선,4803-002,2015,01,08,목,상행,34621,913,5681,3202,498,497,18,2,0,41,0,18,45491
일반국도,국도 48호선,4803-002,2015,01,08,목,하행,32535,1217,7603,2261,375,187,72,4,0,12,0,7,44273
일반국도,국도 48호선,4803-002,2015,01,09,금,상행,35731,951,5847,3329,506,513,13,4,0,44,2,19,46959
일반국도,국도 48호선,4803-002,2015,01,09,금,하행,33353,1312,7784,2132,345,256,92,11,0,25,0,3,45313
일반국도,국도 48호선,4803-002,2015,01,10,토,상행,32395,955,5953,3377,186,794,39,26,3,57,22,41,43848
일반국도,국도 48호선,4803-002,2015,01,10,토,하행,34618,1083,5629,1288,163,195,50,6,0,17,0,4,43053
일반국도,국도 48호선,4803-002,2015,01,11,일,상행,27113,1019,5273,2867,124,670,20,22,3,59,9,39,37218
일반국도,국도 48호선,4803-002,2015,01,11,일,하행,29745,995,3594,789,59,82,4,5,0,4,0,1,35278
일반국도,국도 48호선,4803-002,2015,01,12,월,상행,34361,876,5850,3308,446,511,17,8,2,46,0,23,45448
일반국도,국도 48호선,4803-002,2015,01,12,월,하행,32006,1225,7600,2088,444,163,73,11,0,23,0,6,43639
일반국도,국도 48호선,4803-002,2015,01,13,화,상행,33297,1004,6165,3458,523,843,40,21,4,57,22,47,45481
일반국도,국도 48호선,4803-002,2015,01,13,화,하행,32372,1243,7486,2271,441,212,107,6,0,40,0,7,44185
일반국도,국도 48호선,4803-002,2015,01,14,수,상행,33492,999,6097,3401,522,529,37,26,2,60,13,40,45218
일반국도,국도 48호선,4803-002,2015,01,14,수,하행,32600,1243,7390,2133,380,250,107,8,0,26,0,6,44143
일반국도,국도 48호선,4803-002,2015,01,15,목,상행,34599,953,5967,3273,547,722,19,6,2,44,2,20,46154
일반국도,국도 48호선,4803-002,2015,01,15,목,하행,32951,1261,7395,2142,437,200,115,11,0,40,0,3,44555
일반국도,국도 48호선,4803-002,2015,01,16,금,상행,33488,1248,6913,3573,492,999,43,31,13,84,19,40,46943
일반국도,국도 48호선,4803-002,2015,01,16,금,하행,33783,1299,7520,2040,427,228,93,8,0,40,0,5,45443
일반국도,국도 48호선,4803-002,2015,01,17,토,상행,33320,999,6152,3315,188,1105,20,9,2,51,2,34,45197
일반국도,국도 48호선,4803-002,2015,01,17,토,하행,33830,972,6014,1383,160,253,43,4,0,19,0,2,42680
일반국도,국도 48호선,4803-002,2015,01,18,일,상행,26389,964,5276,2807,123,660,19,16,2,51,9,37,36353
일반국도,국도 48호선,4803-002,2015,01,18,일,하행,28375,998,3897,725,48,100,11,1,0,6,0,1,34162
일반국도,국도 48호선,4803-002,2015,01,19,월,상행,32326,1025,5951,3270,469,419,30,22,3,147,8,37,43707
