도로등급, 도로명, 지점ID, 년도, 월, 일, 요일, 방향, 1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종, 합계  
일반국도,국도 48호선,4803-002,2013,01,01,화,상행,23392,559,3903,2158,164,514,13,3,1,27,0,11,30745
일반국도,국도 48호선,4803-002,2013,01,01,화,하행,20888,215,4454,2646,322,789,59,4,1,48,1,11,29438
일반국도,국도 48호선,4803-002,2013,01,02,수,상행,32996,959,5554,3156,238,749,23,9,1,42,0,20,43747
일반국도,국도 48호선,4803-002,2013,01,02,수,하행,28917,345,5599,3355,370,1185,103,8,2,66,1,74,40025
일반국도,국도 48호선,4803-002,2013,01,03,목,상행,33282,928,5250,3017,232,676,17,2,1,35,0,13,43453
일반국도,국도 48호선,4803-002,2013,01,03,목,하행,30851,408,6106,3724,377,1018,95,11,2,69,1,12,42674
일반국도,국도 48호선,4803-002,2013,01,04,금,상행,25445,695,4263,2421,193,561,16,7,1,32,1,15,33650
일반국도,국도 48호선,4803-002,2013,01,04,금,하행,33386,370,5902,3680,487,1293,83,7,2,70,1,80,45361
일반국도,국도 48호선,4803-002,2013,01,05,토,상행,27945,937,5139,2940,222,604,39,32,2,62,16,51,37989
일반국도,국도 48호선,4803-002,2013,01,05,토,하행,32666,360,5244,2050,329,1287,73,6,2,44,1,75,42137
일반국도,국도 48호선,4803-002,2013,01,06,일,상행,22373,740,4139,2351,160,528,33,23,2,45,18,35,30447
일반국도,국도 48호선,4803-002,2013,01,06,일,하행,25153,321,4716,2571,32,1132,4,2,3,55,0,19,34008
일반국도,국도 48호선,4803-002,2013,01,07,월,상행,30924,951,5531,3256,254,744,51,23,2,59,30,36,41861
일반국도,국도 48호선,4803-002,2013,01,07,월,하행,33653,366,5880,3788,417,1437,82,11,2,70,1,11,45718
일반국도,국도 48호선,4803-002,2013,01,08,화,상행,31718,950,5142,2966,226,674,17,5,1,38,0,16,41753
일반국도,국도 48호선,4803-002,2013,01,08,화,하행,32865,465,5715,3765,601,1559,128,11,1,83,0,13,45206
일반국도,국도 48호선,4803-002,2013,01,09,수,상행,31784,1377,5066,2195,223,672,14,2,5,34,1,12,41385
일반국도,국도 48호선,4803-002,2013,01,09,수,하행,32965,686,6127,2992,389,1480,90,11,6,69,2,35,44852
일반국도,국도 48호선,4803-002,2013,01,10,목,상행,32016,814,4930,2852,216,593,15,1,0,33,0,12,41482
일반국도,국도 48호선,4803-002,2013,01,10,목,하행,32621,386,6222,3845,413,1553,144,13,0,88,1,15,45301
일반국도,국도 48호선,4803-002,2013,01,11,금,상행,33987,856,5240,3072,241,618,13,3,0,37,1,14,44082
일반국도,국도 48호선,4803-002,2013,01,11,금,하행,35140,403,5992,3837,524,1133,67,10,0,76,1,32,47215
일반국도,국도 48호선,4803-002,2013,01,12,토,상행,29692,867,5352,3100,215,609,46,31,4,52,27,36,40031
일반국도,국도 48호선,4803-002,2013,01,12,토,하행,36738,368,5716,2167,278,923,71,7,2,55,1,12,46338
일반국도,국도 48호선,4803-002,2013,01,13,일,상행,23252,796,4385,2452,143,485,22,25,3,54,10,33,31660
일반국도,국도 48호선,4803-002,2013,01,13,일,하행,28105,427,4811,2640,40,430,6,2,1,120,0,17,36599
일반국도,국도 48호선,4803-002,2013,01,14,월,상행,31846,817,5212,3018,225,572,18,8,2,40,0,19,41777
일반국도,국도 48호선,4803-002,2013,01,14,월,하행,34459,417,6057,3793,237,1045,60,12,0,63,0,12,46155
일반국도,국도 48호선,4803-002,2013,01,15,화,상행,30771,958,5515,3211,261,846,43,25,5,54,27,49,41765
일반국도,국도 48호선,4803-002,2013,01,15,화,하행,34644,445,5776,3728,484,483,94,11,6,68,1,16,45756
일반국도,국도 48호선,4803-002,2013,01,16,수,상행,30424,914,5430,3094,244,618,38,31,2,57,15,40,40907
일반국도,국도 48호선,4803-002,2013,01,16,수,하행,32637,441,5763,3749,506,1242,159,15,1,82,1,13,44609
일반국도,국도 48호선,4803-002,2013,01,17,목,상행,32123,833,5222,2953,251,754,17,4,1,36,1,14,42209
일반국도,국도 48호선,4803-002,2013,01,17,목,하행,33654,456,6315,3958,528,1263,96,11,2,74,2,14,46373
일반국도,국도 48호선,4803-002,2013,01,18,금,상행,31607,1439,5672,3340,283,1091,48,37,24,68,22,41,43672
일반국도,국도 48호선,4803-002,2013,01,18,금,하행,36153,1037,5156,3768,573,1043,81,16,2,79,1,16,47925
일반국도,국도 48호선,4803-002,2013,01,19,토,상행,30731,908,5372,3048,213,800,21,10,2,44,1,27,41177
일반국도,국도 48호선,4803-002,2013,01,19,토,하행,36506,446,5380,2363,373,488,75,5,2,51,0,3,45692
일반국도,국도 48호선,4803-002,2013,01,20,일,상행,23216,830,4605,2612,145,464,24,18,2,47,13,34,32010
일반국도,국도 48호선,4803-002,2013,01,20,일,하행,27509,445,4537,2604,45,1004,9,0,2,67,0,20,36242
일반국도,국도 48호선,4803-002,2013,01,21,월,상행,27767,914,5039,2930,264,412,33,29,4,223,11,39,37665
일반국도,국도 48호선,4803-002,2013,01,21,월,하행,31222,463,5743,3441,356,638,47,7,2,57,0,30,42006
일반국도,국도 48호선,4803-002,2013,01,22,화,상행,30885,1124,5440,3197,224,494,46,20,2,65,35,32,41564
일반국도,국도 48호선,4803-002,2013,01,22,화,하행,34386,530,5641,3870,397,1292,97,7,2,74,0,93,46389
일반국도,국도 48호선,4803-002,2013,01,23,수,상행,29918,1598,5296,2742,254,613,50,25,1,57,26,43,40623
일반국도,국도 48호선,4803-002,2013,01,23,수,하행,35078,878,6207,3381,404,983,100,19,1,75,0,11,47137
일반국도,국도 48호선,4803-002,2013,01,24,목,상행,32199,1164,5280,2258,244,796,19,7,4,40,0,19,42030
일반국도,국도 48호선,4803-002,2013,01,24,목,하행,34103,645,6423,3057,520,634,109,11,2,69,1,5,45579
일반국도,국도 48호선,4803-002,2013,01,25,금,상행,32606,1278,5199,2577,236,739,17,4,21,36,2,15,42730
일반국도,국도 48호선,4803-002,2013,01,25,금,하행,31673,1189,5579,2947,409,607,90,19,51,70,1,12,42647
일반국도,국도 48호선,4803-002,2013,01,26,토,상행,26106,857,4354,2414,175,575,14,0,2,30,0,16,34543
일반국도,국도 48호선,4803-002,2013,01,26,토,하행,30292,475,5110,2078,332,1383,60,5,3,50,0,10,39798
일반국도,국도 48호선,4803-002,2013,01,27,일,상행,21095,630,3748,2044,127,447,11,4,2,28,0,17,28153
일반국도,국도 48호선,4803-002,2013,01,27,일,하행,23493,355,4647,2337,267,525,13,1,2,43,0,3,31686
일반국도,국도 48호선,4803-002,2013,01,28,월,상행,26396,891,4538,2638,209,443,34,20,2,43,6,30,35250
일반국도,국도 48호선,4803-002,2013,01,28,월,하행,29774,446,5482,3271,311,1213,44,4,2,150,0,14,40711
일반국도,국도 48호선,4803-002,2013,01,29,화,상행,26352,1183,4809,2361,235,382,50,31,3,170,11,42,35629
일반국도,국도 48호선,4803-002,2013,01,29,화,하행,30897,1152,5141,2831,295,1120,65,5,2,133,1,12,41654
일반국도,국도 48호선,4803-002,2013,01,30,수,상행,26900,1144,4699,2655,205,369,17,9,3,37,1,19,36058
일반국도,국도 48호선,4803-002,2013,01,30,수,하행,29806,1248,5809,4495,135,522,12,1,4,119,0,32,42183
일반국도,국도 48호선,4803-002,2013,01,31,목,상행,25272,1026,4327,3176,201,498,15,3,5,29,2,11,34565
일반국도,국도 48호선,4803-002,2013,01,31,목,하행,30583,1491,5778,3946,71,553,44,6,1,32,0,9,42514
일반국도,국도 48호선,4803-002,2013,02,01,금,상행,22186,1129,4587,2957,202,780,28,19,7,45,13,28,31981
일반국도,국도 48호선,4803-002,2013,02,01,금,하행,28232,1893,5312,3520,159,166,14,1,5,34,0,10,39346
일반국도,국도 48호선,4803-002,2013,02,02,토,상행,28479,1167,4756,2727,214,1071,16,1,39,35,1,20,38526
일반국도,국도 48호선,4803-002,2013,02,02,토,하행,30425,1707,3900,3103,185,279,31,1,22,21,0,8,39682
일반국도,국도 48호선,4803-002,2013,02,03,일,상행,23493,1194,4710,3464,206,923,27,17,33,48,12,33,34160
일반국도,국도 48호선,4803-002,2013,02,03,일,하행,27252,1788,4912,2295,34,128,6,3,16,152,0,92,36678
일반국도,국도 48호선,4803-002,2013,02,04,월,상행,24508,1215,4897,3527,271,956,47,26,29,57,23,30,35586
일반국도,국도 48호선,4803-002,2013,02,04,월,하행,24160,2457,4403,3578,333,209,73,7,10,42,1,12,35285
일반국도,국도 48호선,4803-002,2013,02,05,화,상행,26803,1092,4574,2912,221,581,14,5,11,32,2,13,36260
일반국도,국도 48호선,4803-002,2013,02,05,화,하행,25156,2062,4262,3163,383,1156,102,11,1,65,1,14,36376
일반국도,국도 48호선,4803-002,2013,02,06,수,상행,30795,1212,4900,2992,264,1101,13,4,25,33,2,12,41353
일반국도,국도 48호선,4803-002,2013,02,06,수,하행,30259,1981,5864,3434,531,568,101,9,28,77,1,17,42870
일반국도,국도 48호선,4803-002,2013,02,07,목,상행,33755,2149,5837,3027,312,790,31,34,12,68,21,44,46080
일반국도,국도 48호선,4803-002,2013,02,07,목,하행,36051,1305,6835,3335,447,630,106,7,2,81,0,17,48816
일반국도,국도 48호선,4803-002,2013,02,08,금,상행,32188,1492,5956,3462,373,264,85,62,3,71,22,68,44046
일반국도,국도 48호선,4803-002,2013,02,08,금,하행,35027,640,5650,3860,339,885,78,7,2,38,0,9,46535
일반국도,국도 48호선,4803-002,2013,02,09,토,상행,24282,1012,4285,2356,263,169,24,13,0,30,1,14,32449
일반국도,국도 48호선,4803-002,2013,02,09,토,하행,26288,488,5201,3316,48,21,2,0,4,2,0,1,35371
일반국도,국도 48호선,4803-002,2013,02,10,일,상행,31234,1103,4664,2620,310,194,15,1,0,22,0,2,40165
일반국도,국도 48호선,4803-002,2013,02,10,일,하행,31031,901,5980,3745,2,17,0,0,1,0,0,0,41677
일반국도,국도 48호선,4803-002,2013,02,11,월,상행,22285,1235,4822,2795,282,190,48,37,4,54,25,38,31815
일반국도,국도 48호선,4803-002,2013,02,11,월,하행,25834,1341,4726,2980,16,13,1,0,4,0,0,0,34915
일반국도,국도 48호선,4803-002,2013,02,12,화,상행,26498,1234,4919,3022,250,759,35,25,31,57,28,30,36888
일반국도,국도 48호선,4803-002,2013,02,12,화,하행,28462,2277,5396,3366,531,368,87,7,38,61,1,15,40609
일반국도,국도 48호선,4803-002,2013,02,13,수,상행,30803,1297,5142,2701,251,454,23,11,21,43,2,22,40770
일반국도,국도 48호선,4803-002,2013,02,13,수,하행,32085,2617,5906,3440,495,1079,143,15,1,76,1,21,45879
일반국도,국도 48호선,4803-002,2013,02,14,목,상행,31912,1313,5305,2628,276,461,25,9,22,152,3,20,42126
일반국도,국도 48호선,4803-002,2013,02,14,목,하행,32165,2538,6230,3212,624,982,111,12,20,72,2,15,45983
일반국도,국도 48호선,4803-002,2013,02,15,금,상행,32788,1001,5319,3127,255,573,25,10,7,42,1,20,43168
일반국도,국도 48호선,4803-002,2013,02,15,금,하행,32992,1264,5919,3696,478,654,92,10,1,164,1,64,45335
일반국도,국도 48호선,4803-002,2013,02,16,토,상행,30131,876,5336,3135,231,570,48,25,7,66,30,39,40494
일반국도,국도 48호선,4803-002,2013,02,16,토,하행,30327,1054,5010,2113,324,1148,98,4,1,39,1,4,40123
일반국도,국도 48호선,4803-002,2013,02,17,일,상행,24215,1187,4118,1739,147,291,8,2,15,115,0,16,31853
일반국도,국도 48호선,4803-002,2013,02,17,일,하행,24416,828,4550,1768,42,545,8,4,2,23,0,18,32204
일반국도,국도 48호선,4803-002,2013,02,18,월,상행,28781,1690,5294,2511,242,362,45,30,13,166,27,32,39193
일반국도,국도 48호선,4803-002,2013,02,18,월,하행,28304,893,5398,2572,501,648,49,10,2,203,1,54,38635
일반국도,국도 48호선,4803-002,2013,02,19,화,상행,30558,1382,5474,3083,282,586,44,30,39,61,36,42,41617
일반국도,국도 48호선,4803-002,2013,02,19,화,하행,29229,2064,5485,3073,588,346,87,13,39,80,0,11,41015
일반국도,국도 48호선,4803-002,2013,02,20,수,상행,30528,1288,5228,3219,247,750,25,9,54,40,1,19,41408
일반국도,국도 48호선,4803-002,2013,02,20,수,하행,29541,1936,5605,3403,267,679,79,34,0,50,0,10,41604
일반국도,국도 48호선,4803-002,2013,02,21,목,상행,31440,1267,5135,3269,255,756,21,4,79,36,1,14,42277
일반국도,국도 48호선,4803-002,2013,02,21,목,하행,28690,1473,5943,2853,452,444,128,11,1,70,1,11,40077
일반국도,국도 48호선,4803-002,2013,02,22,금,상행,27998,1113,4672,2623,222,600,15,2,32,32,0,12,37321
일반국도,국도 48호선,4803-002,2013,02,22,금,하행,29614,1441,5982,2798,485,539,77,11,19,68,1,12,41047
일반국도,국도 48호선,4803-002,2013,02,23,토,상행,29531,1203,4845,2696,231,421,13,5,45,154,2,21,39167
일반국도,국도 48호선,4803-002,2013,02,23,토,하행,28601,1296,4113,1894,508,589,53,5,1,47,1,9,37117
일반국도,국도 48호선,4803-002,2013,02,24,일,상행,23105,1049,3830,1528,145,383,5,0,9,155,0,15,30224
일반국도,국도 48호선,4803-002,2013,02,24,일,하행,23057,565,3838,757,35,260,4,1,1,58,0,24,28600
일반국도,국도 48호선,4803-002,2013,02,25,월,상행,26676,1903,4744,2251,225,345,25,20,16,149,13,22,36389
일반국도,국도 48호선,4803-002,2013,02,25,월,하행,26400,910,4204,1414,181,379,23,5,29,140,1,9,33695
일반국도,국도 48호선,4803-002,2013,02,26,화,상행,30428,1779,5339,2496,266,417,41,38,16,232,22,34,41108
일반국도,국도 48호선,4803-002,2013,02,26,화,하행,27396,761,4937,1639,305,524,40,6,13,325,1,61,36008
일반국도,국도 48호선,4803-002,2013,02,27,수,상행,30644,1353,5441,2748,262,417,27,25,17,54,29,39,41056
일반국도,국도 48호선,4803-002,2013,02,27,수,하행,27139,1293,5863,2486,327,613,92,14,2,58,1,12,37900
일반국도,국도 48호선,4803-002,2013,02,28,목,상행,33695,1300,5336,2985,270,624,17,3,24,35,2,12,44303
일반국도,국도 48호선,4803-002,2013,02,28,목,하행,30080,1430,6004,2826,461,652,129,20,1,77,1,15,41696
일반국도,국도 48호선,4803-002,2013,03,01,금,상행,39431,1733,6732,3731,332,530,46,28,25,64,27,54,52733
일반국도,국도 48호선,4803-002,2013,03,01,금,하행,34293,1734,5667,3119,513,882,91,14,9,92,1,18,46433
일반국도,국도 48호선,4803-002,2013,03,02,토,상행,36370,1553,6105,3290,284,705,29,13,20,53,3,32,48457
일반국도,국도 48호선,4803-002,2013,03,02,토,하행,34123,1249,4579,2053,524,1273,106,4,9,54,1,15,43990
일반국도,국도 48호선,4803-002,2013,03,03,일,상행,32248,1014,5129,2087,212,540,15,4,8,39,0,22,41318
일반국도,국도 48호선,4803-002,2013,03,03,일,하행,30396,504,4269,967,48,870,16,2,3,60,0,48,37183
일반국도,국도 48호선,4803-002,2013,03,04,월,상행,37915,1777,5959,3317,295,522,19,4,13,257,0,17,50095
일반국도,국도 48호선,4803-002,2013,03,04,월,하행,38078,978,6923,3213,646,1047,111,7,6,88,1,17,51115
