도로등급, 도로명, 지점ID, 년도, 월, 일, 요일, 방향, 1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종, 합계  
일반국도,국도 48호선,4803-002,2014,01,01,수,상행,33148,1035,6119,3308,728,569,21,7,1,48,0,25,45009
일반국도,국도 48호선,4803-002,2014,01,01,수,하행,29965,764,5297,3085,911,537,70,5,0,67,1,22,40724
일반국도,국도 48호선,4803-002,2014,01,02,목,상행,33921,1127,6053,3289,586,605,18,3,0,45,0,22,45669
일반국도,국도 48호선,4803-002,2014,01,02,목,하행,31350,1033,5123,3315,825,549,86,10,0,69,1,15,42376
일반국도,국도 48호선,4803-002,2014,01,03,금,상행,30677,910,5696,3071,578,633,16,7,0,44,1,23,41656
일반국도,국도 48호선,4803-002,2014,01,03,금,하행,33425,1045,5739,3401,964,478,53,5,0,71,1,7,45189
일반국도,국도 48호선,4803-002,2014,01,04,토,상행,31260,1093,6063,3315,160,962,31,17,0,61,8,49,43019
일반국도,국도 48호선,4803-002,2014,01,04,토,하행,33669,1136,4155,1198,465,1554,66,4,0,40,1,31,42319
일반국도,국도 48호선,4803-002,2014,01,05,일,상행,24420,902,4921,2608,92,824,19,12,0,46,9,36,33889
일반국도,국도 48호선,4803-002,2014,01,05,일,하행,24509,1140,3615,2125,18,1202,3,1,0,79,0,28,32720
일반국도,국도 48호선,4803-002,2014,01,06,월,상행,32993,923,6243,3421,605,719,33,13,1,57,15,33,45056
일반국도,국도 48호선,4803-002,2014,01,06,월,하행,33406,1021,5353,3403,750,899,67,8,1,71,1,15,44995
일반국도,국도 48호선,4803-002,2014,01,07,화,상행,33878,1202,6011,3323,644,585,17,5,0,48,0,24,45737
일반국도,국도 48호선,4803-002,2014,01,07,화,하행,32713,1058,5731,3429,828,896,114,10,0,78,0,16,44873
일반국도,국도 48호선,4803-002,2014,01,08,수,상행,33677,1100,6847,2043,734,493,16,3,1,45,2,21,44982
일반국도,국도 48호선,4803-002,2014,01,08,수,하행,33087,1142,6270,2111,840,789,71,6,3,48,2,57,44426
일반국도,국도 48호선,4803-002,2014,01,09,목,상행,33721,919,5855,3226,729,349,19,1,0,44,0,21,44884
일반국도,국도 48호선,4803-002,2014,01,09,목,하행,32293,1123,5739,3435,807,868,152,7,0,79,1,17,44521
일반국도,국도 48호선,4803-002,2014,01,10,금,상행,35623,995,6148,3411,743,381,12,4,0,48,2,23,47390
일반국도,국도 48호선,4803-002,2014,01,10,금,하행,34795,1158,5760,3538,694,889,42,6,0,98,1,33,47014
일반국도,국도 48호선,4803-002,2014,01,11,토,상행,32423,962,6058,3372,140,913,28,17,1,56,14,41,44025
일반국도,국도 48호선,4803-002,2014,01,11,토,하행,37006,1045,4484,1180,187,1150,58,6,0,49,1,14,45180
일반국도,국도 48호선,4803-002,2014,01,12,일,상행,25209,1024,5036,2670,77,712,12,14,1,51,5,35,34846
일반국도,국도 48호선,4803-002,2014,01,12,일,하행,27205,1066,3783,2184,115,547,4,2,1,79,0,23,35009
일반국도,국도 48호선,4803-002,2014,01,13,월,상행,33901,858,5979,3310,628,404,14,7,1,48,0,25,45175
